Customer ID,Country,State,City,Zip Code,Latitude,Longitude,Population,Age,Gender,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Quarter_status,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
8779-QRDMV,United States,California,Los Angeles,90022,34.02381,-118.156582,68701,78,Male,No,Yes,No,No,0,No,0,1,None,No,0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0,20,0,59.65,Q3,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data
7495-OOKFY,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,74,Female,No,Yes,Yes,Yes,1,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0,0,390.8,1024.1,Q3,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer
1658-BYGOY,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,71,Male,No,Yes,No,Yes,3,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,Q3,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer
4598-XLKNJ,United States,California,Inglewood,90303,33.936291,-118.332639,27778,78,Female,No,Yes,Yes,Yes,1,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494,2995.07,Q3,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services
4846-WHAFZ,United States,California,Whittier,90602,33.972119,-118.020188,26265,80,Female,No,Yes,Yes,Yes,1,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0,0,234.21,3102.36,Q3,2,Churned,Yes,1,67,2793,Price,Extra data charges
4412-YLTKF,United States,California,Pico Rivera,90660,33.989524,-118.089299,63288,72,Female,No,Yes,No,Yes,1,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0,10,89.91,2235.41,Q3,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices
0390-DCFDQ,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,76,Female,No,Yes,Yes,Yes,2,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73,Q3,2,Churned,Yes,1,76,3964,Other,Don't know
3445-HXXGF,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,66,Male,No,Yes,Yes,No,0,Yes,6,58,Offer B,No,0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0,2610.25,Q3,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,United States,California,Pasadena,91106,34.139402,-118.128658,23742,70,Female,No,Yes,No,Yes,2,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0,0,661.05,1806.75,Q3,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services
2070-FNEXE,United States,California,Pasadena,91107,34.159007,-118.087353,32369,77,Female,No,Yes,No,Yes,2,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,Q3,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed
0094-OIFMO,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,78,Female,No,Yes,No,Yes,1,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,0,120,127.49,1367.79,Q3,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction
9947-OTFQU,United States,California,Covina,91722,34.097345,-117.906736,33817,65,Male,No,Yes,No,No,0,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0,0,436.65,1510.95,Q3,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices
9514-JDSKI,United States,California,El Monte,91732,34.074492,-118.01462,62660,77,Male,No,Yes,Yes,No,0,Yes,1,1,Offer E,No,0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0,0,0,40.2,Q3,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services
7273-TEFQD,United States,California,La Puente,91746,34.038983,-117.991372,30802,67,Male,No,Yes,No,No,0,No,0,3,Offer E,No,0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0,0,0,132.2,Q3,2,Churned,Yes,1,96,2314,Price,Long distance charges
3606-TWKGI,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342,68,Male,No,Yes,No,No,0,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0,10,424.84,1799.14,Q3,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices
4385-GZQXV,United States,California,Ontario,91764,34.074087,-117.605618,49474,68,Female,No,Yes,No,No,0,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0,0,150.88,1662.08,Q3,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices
3488-PGMQJ,United States,California,Alpine,91901,32.827184,-116.703729,16486,66,Male,No,Yes,No,No,0,No,0,8,None,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0,0,14.24,620.79,Q3,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support
7534-BFESC,United States,California,San Diego,92122,32.85723,-117.209774,34902,69,Male,No,Yes,No,No,0,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0,0,740.88,2453.58,Q3,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer
8098-LLAZX,United States,California,San Diego,92122,32.85723,-117.209774,34902,74,Female,No,Yes,No,No,0,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0,0,126.44,522.54,Q3,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer
0265-EDXBD,United States,California,San Diego,92122,32.85723,-117.209774,34902,76,Male,No,Yes,Yes,No,0,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0,0,1514.88,3818.23,Q3,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person
2840-XANRC,United States,California,San Diego,92122,32.85723,-117.209774,34902,77,Male,No,Yes,Yes,No,0,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0,0,386.4,2617.45,Q3,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer
5020-ZSTTY,United States,California,San Diego,92122,32.85723,-117.209774,34902,70,Female,No,Yes,No,No,0,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0,0,652.32,5002.42,Q3,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer
5804-LEPIM,United States,California,San Diego,92122,32.85723,-117.209774,34902,74,Female,No,Yes,No,No,0,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0,0,26.34,165.39,Q3,3,Churned,Yes,1,73,2671,Other,Don't know
0623-IIHUG,United States,California,San Diego,92122,32.85723,-117.209774,34902,77,Female,No,Yes,No,No,0,No,0,21,None,No,0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0,0,0,840.1,Q3,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer
9057-MSWCO,United States,California,San Diego,92122,32.85723,-117.209774,34902,71,Male,No,Yes,Yes,No,0,No,0,27,None,No,0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0,140,0,945.1,Q3,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer
4895-TMWIR,United States,California,San Diego,92122,32.85723,-117.209774,34902,79,Male,No,Yes,Yes,No,0,Yes,1,11,None,Yes,29.54,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0,0,324.94,539.69,Q3,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer
0533-BNWKF,United States,California,San Diego,92122,32.85723,-117.209774,34902,66,Female,No,Yes,Yes,No,0,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0,90,2355.1,7319.8,Q3,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer
0334-GDDSO,United States,California,San Diego,92122,32.85723,-117.209774,34902,77,Male,No,Yes,No,No,0,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0,0,27.66,261.36,Q3,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer
5564-NEMQO,United States,California,Thermal,92274,33.53604,-116.119222,17018,80,Female,No,Yes,No,No,0,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0,20,35.09,130.39,Q3,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability
6235-VDHOM,United States,California,Riverside,92509,34.004379,-117.447864,63999,77,Female,No,Yes,No,No,0,No,0,5,Offer E,No,0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0,0,0,131.05,Q3,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services
5609-CEBID,United States,California,Hemet,92544,33.644585,-116.871544,39264,77,Female,No,Yes,No,No,0,No,0,20,None,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0,80,974.6,2837,Q3,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices
5956-VKDTT,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,72,Female,No,Yes,Yes,No,0,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0,0,228.8,563.6,Q3,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction
0257-ZESQC,United States,California,Perris,92571,33.828289,-117.201666,26357,80,Female,No,Yes,Yes,No,0,Yes,2,27,None,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0,0,189.54,2118.89,Q3,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person
2865-TCHJW,United States,California,Anaheim,92807,33.848733,-117.788357,36301,74,Female,No,Yes,No,No,0,No,0,4,None,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0,0,193.4,539.6,Q3,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices
5192-EBGOV,United States,California,Brea,92823,33.924143,-117.79387,1408,68,Female,No,Yes,No,No,0,No,0,1,None,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0,0,45.81,131.51,Q3,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices
3419-SNJJD,United States,California,Yorba Linda,92887,33.884073,-117.732197,20893,78,Female,No,Yes,Yes,No,0,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0,0,1195.35,7981.75,Q3,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person
4554-YGZIH,United States,California,Summerland,93067,34.420998,-119.60137,576,75,Male,No,Yes,Yes,No,0,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0,0,1123.08,5670.33,Q3,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer
5099-BAILX,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727,77,Male,No,Yes,Yes,No,0,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0,0,624.36,5312.26,Q3,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer
